role,scenario,run_id,source_file,t_first_selected_s,offset_mean_ms_post,offset_std_ms_post,offset_p95_ms_post,offset_maxabs_ms_post,jitter_mean_ms_post,jitter_p95_ms_post,delay_mean_ms_post,delay_p95_ms_post,reach_final_raw,reach_final_oct
client,low,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run06/ntp_client_live.log,557.0,-2.573519047619047,0.3310139422349412,-2.13,3.0859,0.5138222222222222,0.7542,7.470655555555556,15.522249999999989,377,255
boundary,low,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run06/ntp_boundary_live.log,512.0,0.28567910447761186,0.13555519343002884,0.4993,0.4993,0.24928955223880597,0.3807,1.1493388059701493,2.0234,377,255
client,low,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run07/ntp_client_live.log,558.0,-2.9988333333333315,0.41834657109672474,-2.5861,4.1396,0.8177984126984128,1.4405,7.527412698412698,10.0527,377,255
boundary,low,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run07/ntp_boundary_live.log,512.0,0.4157151515151514,0.8575599960608139,3.1885,3.1885,1.0261015151515152,2.9135,1.609062121212121,6.8833,377,255
client,low,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run08/ntp_client_live.log,558.0,-2.7904936507936506,0.7978374393549452,-1.5628,4.9882,1.5152333333333334,3.0299,7.139577777777778,11.22697,377,255
boundary,low,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run08/ntp_boundary_live.log,512.0,0.24546212121212124,0.20019739010452167,0.736275,0.7857,0.25269545454545456,0.40705,1.0481893939393938,2.392725,377,255
client,low,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run09/ntp_client_live.log,558.0,-2.688350793650794,0.5497813650114707,-1.3377600000000014,3.6095,0.7777095238095239,1.5983399999999992,7.497712698412699,13.023529999999996,377,255
boundary,low,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run09/ntp_boundary_live.log,513.0,0.06989999999999998,0.18171771430520386,0.6258,0.6258,0.3102303030303031,0.537,1.1866075757575758,2.9761,377,255
client,low,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run10/ntp_client_live.log,621.0,-2.6030177419354836,0.3979185852655484,-1.8575600000000014,3.3201,0.5928564516129033,0.9819,6.417359677419355,7.9587,377,255
boundary,low,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run10/ntp_boundary_live.log,555.0,0.20563484848484848,0.1529229675283246,0.52005,0.5595,0.5322166666666667,1.4526750000000002,1.016369696969697,1.9309,377,255
client,low,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run11/ntp_client_live.log,557.0,-2.6842730158730146,0.5945115094809134,-2.0287,4.1613,0.7990603174603174,1.3894,7.143928571428572,10.248,377,255
boundary,low,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run11/ntp_boundary_live.log,512.0,0.17824242424242423,0.14692032488666043,0.516525,0.5762,0.1819,0.41905000000000003,1.0025863636363634,1.8304,377,255
client,low,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run12/ntp_client_live.log,557.0,-2.9333603174603184,0.9070029764043495,-2.1887,5.8876,1.1874952380952375,2.937119999999998,7.788720634920633,12.379309999999995,377,255
boundary,low,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run12/ntp_boundary_live.log,513.0,0.2408378787878788,0.8302849697571678,2.6405000000000003,3.4453,0.9854515151515152,2.8425000000000002,1.316375757575758,6.2894,377,255
client,low,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run13/ntp_client_live.log,558.0,-3.110893650793652,0.48129479862641766,-2.5373,4.2601,0.7496412698412701,1.4163,7.867633333333334,10.0519,377,255
boundary,low,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run13/ntp_boundary_live.log,512.0,0.17145303030303036,0.11257928654911055,0.39575,0.3997,0.32377575757575755,0.47807499999999997,1.0682166666666666,2.266275,377,255
client,low,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run14/ntp_client_live.log,572.0,-2.497274193548387,0.5922088518767192,-1.074190000000003,3.6535,0.9038903225806448,1.9613449999999966,6.893611290322581,9.516599999999999,377,255
boundary,low,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run14/ntp_boundary_live.log,512.0,0.2828424242424242,0.2408308190478606,0.642525,0.6528,0.4919303030303031,0.753125,1.3145045454545456,2.554075,377,255
client,low,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run15/ntp_client_live.log,557.0,-2.647309523809525,0.3998133595672851,-2.2634,3.363,0.6820317460317462,0.8864,7.2550396825396835,9.237499999999999,377,255
boundary,low,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/low/run15/ntp_boundary_live.log,512.0,0.22733636363636364,0.21576390062099995,0.79425,0.8839,0.42036060606060605,0.5328,1.135890909090909,2.3049,377,255
client,medium,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run01/ntp_client_live.log,557.0,-7.380809523809523,0.9469886153749527,-5.9777,8.995,1.4798158730158728,2.1909,16.83459206349206,20.67586,377,255
boundary,medium,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run01/ntp_boundary_live.log,512.0,0.2704560606060606,0.2651964207490149,0.7975,0.7975,0.529689393939394,0.7097749999999999,1.1435878787878788,2.6465,377,255
client,medium,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run02/ntp_client_live.log,572.0,-7.7250274193548405,1.226029612961614,-6.5905,9.9812,1.790746774193548,2.2752,17.490567741935493,22.843034999999993,377,255
boundary,medium,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run02/ntp_boundary_live.log,512.0,0.26073484848484846,0.2744996827754501,0.7588999999999999,0.7706,0.43544242424242424,0.5856,1.0249015151515155,1.9101249999999999,377,255
client,medium,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run03/ntp_client_live.log,602.0,-5.743604761904763,3.3480462879998933,0.0765,9.6206,3.6392650793650807,8.037099999999999,13.15482063492064,20.57904,377,255
boundary,medium,run03,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run03/ntp_boundary_live.log,550.0,0.14622878787878793,0.12376147749746001,0.461675,0.4912,0.34697272727272727,0.51725,0.8878696969696968,2.106675,377,255
client,medium,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run04/ntp_client_live.log,558.0,-7.176026984126981,1.3189850746552587,-5.4224,9.8167,2.3081730158730154,3.7331,15.835673015873022,21.6769,377,255
boundary,medium,run04,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run04/ntp_boundary_live.log,512.0,0.25415000000000004,0.3072261057868013,0.954275,1.0971,0.4232424242424242,0.71175,1.1206257575757574,2.5965,377,255
client,medium,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run05/ntp_client_live.log,557.0,-6.985433333333333,1.9899520040410765,-4.9699,10.1745,2.897,4.053,16.38684444444445,22.2656,377,255
boundary,medium,run05,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run05/ntp_boundary_live.log,512.0,0.30723939393939403,0.28372929887416787,0.945625,0.9856,0.5699303030303029,0.7478,1.3109742424242425,2.59495,377,255
